Item,Opening Inventory(2021),Purchases (2021),Total Inventory(2021),Cost of Total Inventory,Sales Quantity(2021),Ending Inventory(2021),Average Inventory,COGS,Inventory_turnover,DSI
Shure BLX24R/SM58-H9,0,1,1,296,1,0,0,296,inf,0
Andrew 241088-9,158,-3,155,3797.5,12,143,150.5,294,1.95,187.18
Magnum Dynalab ST 2,25,12,37,5274,2,35,30,285.08,9.5,38.42
Broadcast Tools COP-2/RJ,12,20,32,824.32,11,21,16.5,283.36,17.17,21.26
RODE RODECaster Pro (B-Stock),17,25,42,11892.5,1,41,29,283.15,9.76,37.4
RFS GKFORM60-12,21,22,43,551.78,22,21,21,282.31,13.44,27.16
Zoom P4 (FBA),100,33,133,18464.77,2,131,115.5,277.67,2.4,152.08
Presonus Eris E5 XT,41,12,53,7344,2,51,46,277.13,6.02,60.63
Presonus Eris E4.5 BT,26,14,40,10877,1,39,32.5,271.92,8.37,43.61
AKG K245 HEADPHONES,12,20,32,1716,5,27,19.5,268.12,13.75,26.55
GVM-HD-18S,0,3,3,264,3,0,0,264,inf,0
Presonus Audiobox USB 96,186,-45,141,12300,3,138,162,261.7,1.62,225.31
RODE Ai1,25,181,206,53390,1,205,115,259.17,2.25,162.22
OC White 51900-B,34,-2,32,4072.25,2,30,32,254.52,7.95,45.91
Neutrik NP3X,182,24,206,1252.91,41,165,173.5,249.37,1.44,253.47
JBL Control 5 (Pair),0,7,7,1698.34,1,6,3,242.62,80.87,4.51
Cisco RV-340,0,1,1,239,1,0,0,239,inf,0
Neutrik NC3MXX-B,0,600,600,1722,80,520,260,229.6,0.88,414.77
Neutrik NC3MX-B,70,-6,64,293.28,50,14,42,229.12,5.46,66.85
BLUE Microphones Spark Blackout SL,70,-27,43,9749.94,1,42,56,226.74,4.05,90.12
Cisco SG220-26-K9-NA,0,1,1,219,1,0,0,219,inf,0
Neumann EA 4 BK,11,15,26,2822.4,2,24,17.5,217.11,12.41,29.41
Mackie ProFX10v3,12,6,18,3884.76,1,17,14.5,215.82,14.88,24.53
RFS HOIST1-300L,15,3,18,773.46,5,13,14,214.85,15.35,23.78
JBL CONTROL 25-1-WH,7,3,10,1055.1,2,8,7.5,211.02,28.14,12.97
Focal FOPRO-LISPRO,0,19,19,3977,1,18,9,209.32,23.26,15.69
Frameworks GFW-MIC-0501,0,40,40,531.36,15,25,12.5,199.26,15.94,22.9
Cambium N000082L042A,0,3,3,190.95,3,0,0,190.95,inf,0
Dbx 286s (FBA),0,78,78,13892.64,1,77,38.5,178.11,4.63,78.83
JBL 306PMKII,6,4,10,1746.28,1,9,7.5,174.63,23.28,15.68
RODE Procaster,173,301,474,80522,1,473,323,169.88,0.53,688.68
Henry Engineering MIKE ALERT,16,-4,12,1010,2,10,13,168.33,12.95,28.19
Siemons 66B3-50,60,1,61,1708,6,55,57.5,168,2.92,125
Andrew CPT-L4ARC1,0,1,1,165.84,1,0,0,165.84,inf,0
Magnus VT-300,0,2,2,159.9,2,0,0,159.9,inf,0
On-Stage Stands DS7100B,26,1,27,171.43,25,2,14,158.73,11.34,32.19
Aston Microphones AST-ELEMENT,6,21,27,4185,1,26,16,155,9.69,37.67
Middle Atlantic MA-EB1,22,1,23,177.1,20,3,12.5,154,12.32,29.63
Blue Microphones Yeti Blackout,66,8,74,11314,1,73,69.5,152.89,2.2,165.91
Jampro 078-50-336,5,1,6,906.5,1,5,5,151.08,30.22,12.08
ChromaCast CC-SDMIC-STAND-38,0,15,15,149.7,15,0,0,149.7,inf,0
Audio-Technica AT8314-20,54,-26,28,261,16,12,33,149.14,4.52,80.75
Presonus ISPD-4,0,11,11,228,7,4,2,145.09,72.54,5.03
JBL CONTROL 12C/T,6,8,14,980.64,2,12,9,140.09,15.57,23.44
Andrew 31670-4,0,32,32,169.2,26,6,3,137.48,45.83,7.96
AKG P420,0,6,6,805.98,1,5,2.5,134.33,53.73,6.79
Audio-Technica AT2005USB,471,-198,273,36229.35,1,272,371.5,132.71,0.36,1013.89
RFS GKFORM60-300,0,8,8,151.2,7,1,0.5,132.3,264.6,1.38
Middle Atlantic MA-2-6M,0,1,1,130.77,1,0,0,130.77,inf,0
Calrad 55-853G-6,0,338,338,757.4,58,280,140,129.97,0.93,392.47
Andrew 19256B,75,-5,70,1807.35,5,65,70,129.1,1.84,198.37
Yellowtec YT3210,22,-1,21,888,3,18,20,126.86,6.34,57.57
CAD Audio U37SE-C,200,-14,186,7784.5,3,183,191.5,125.56,0.66,553.03
Broadcast Tools WVRC-4 Plus,3,1,4,495.88,1,3,3,123.97,41.32,8.83
Mogan Standard EAO-BG-AK,0,2,2,120,2,0,0,120,inf,0
Audio-Technica AT8314-25,0,19,19,447.51,5,14,7,117.77,16.82,21.7
Staco Energy Products 4RAIL KIT,0,1,1,113.4,1,0,0,113.4,inf,0
Middle Atlantic MA-PD-2020R-NS,0,1,1,109.68,1,0,0,109.68,inf,0
Audio-Technica AT8314-10,36,19,55,735,8,47,41.5,106.91,2.58,141.47
Andrew L4TDM-PSA,0,13,13,136.71,10,3,1.5,105.16,70.11,5.21
Audio-Technica ATM610A,0,1,1,105,1,0,0,105,inf,0
Radio Design Labs / RDL TX-RA5,0,2,2,103.04,2,0,0,103.04,inf,0
StreamEye ClipCam,87,-1,86,4324.06,2,84,85.5,100.56,1.18,309.32
Focusrite Scarlett Solo 3G (B-Stock),74,81,155,14937.43,1,154,114,96.37,0.85,429.41
Neutrik NC3FX-B,89,-34,55,191.95,25,30,59.5,87.25,1.47,248.3
Yellowtec YT3260,9,6,15,1302.75,1,14,11.5,86.85,7.55,48.34
Lewitt DTP-340-TT,14,15,29,2504.38,1,28,21,86.36,4.11,88.81
RFS HOIST1-158L,17,14,31,650.83,4,27,22,83.98,3.82,95.55
ATC UB-58-212-4,0,18,18,81,18,0,0,81,inf,0
RFS RMA-CI,20,70,90,879.3,8,82,51,78.16,1.53,238.56
Andrew L4TDF-PSA,0,9,9,135.81,5,4,2,75.45,37.72,9.68
Frameworks GFW-MIC-2000,0,18,18,337.5,4,14,7,75,10.71,34.08
RFS CLAMP-158,36,30,66,790.02,6,60,48,71.82,1.5,243.33
RFS Trim-Set-L78-D01,7,1,8,571.2,1,7,7,71.4,10.2,35.78
Hubbell HBL2310,0,3,3,71.34,3,0,0,71.34,inf,0
BW Broadcast PSU-25W15V-MWRS2515,8,1,9,320,2,7,7.5,71.11,9.48,38.5
RFS HOIST1-12L,8,13,21,241.44,6,15,11.5,68.98,6,60.83
Zoom SSH-6 (FBA),11,12,23,1529.83,1,22,16.5,66.51,4.03,90.57
Allen & Heath AH-AB-168-RK19,9,6,15,995.1,1,14,11.5,66.34,5.77,63.26
Yellowtec YT3248,16,1,17,1125,1,16,16,66.18,4.14,88.16
Hosa Technology STX-102M,44,3,47,214.45,14,33,38.5,63.88,1.66,219.88
On-Stage Stands DS7200B,11,30,41,434.46,6,35,23,63.58,2.76,132.25
Rolls RMS270 Tray,0,6,6,189,2,4,2,63,31.5,11.59
Mogan EAO-BG-EV,0,2,2,120,1,1,0.5,60,120,3.04
RODE Interview GO,97,52,149,2926,3,146,121.5,58.91,0.48,760.42
Tripp Lite N252-024-6A,0,4,4,234.74,1,3,1.5,58.68,39.12,9.33
On-Stage Stands SSP7900,4,12,16,913.72,1,15,9.5,57.11,6.01,60.73
RFS NF-LCF12-D01,33,25,58,821.12,4,54,43.5,56.63,1.3,280.77
RODE DS1,40,35,75,1379.2,3,72,56,55.17,0.99,368.69
Sennheiser CABLE II-X3K1,0,15,15,823.5,1,14,7,54.9,7.84,46.56
PROCO BSW-RCP-CABLE,0,1,1,54.56,1,0,0,54.56,inf,0
Zoom G1X FOUR (FBA),15,30,45,2448.6,1,44,29.5,54.41,1.84,198.37
Gator GM-06-MIC-WP,0,3,3,153.45,1,2,1,51.15,51.15,7.14
Shure SE215-CL,18,1,19,961,1,18,18,50.58,2.81,129.89
RODE RM2,10,40,50,493,5,45,27.5,49.3,1.79,203.91
Zoom MSH-6 (FBA),0,11,11,527.89,1,10,5,47.99,9.6,38.02
K&M Stands 23150.100.55,0,10,10,222.8,2,8,4,44.56,11.14,32.76
Zoom ZDM-1 Podcast Mic Pack (FBA),191,-109,82,910.69,4,78,134.5,44.42,0.33,1106.06
BW Broadcast PSU-45W15V-MW1RM4515,0,1,1,43.15,1,0,0,43.15,inf,0
AVMatrix Mini SC1112,0,12,12,480,1,11,5.5,40,7.27,50.21
MonoPrice 7294,0,135,135,112.05,45,90,45,37.35,0.83,439.76
