Item,Opening Inventory(2021),Purchases (2021),Total Inventory(2021),Cost of Total Inventory,Sales Quantity(2021),Ending Inventory(2021),Average Inventory,COGS,Inventory_turnover,DSI
Lewitt DGT-450,3,0,3,1130.76,0,3,3,0,0,NoTurnover
Behringer X-TOUCH MINI (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
LEA DS21S-120/208-80-3Y,1,0,1,0,0,1,1,0,0,NoTurnover
LEA Professional Connect 164,1,0,1,899,0,1,1,0,0,NoTurnover
AudioScience ASI5740,12,14,26,22670.56,0,26,19,0,0,NoTurnover
LEA Professional Connect 352,1,0,1,699,0,1,1,0,0,NoTurnover
LEA Professional Connect 702,1,0,1,999,0,1,1,0,0,NoTurnover
LEA Professional Connect 704,1,0,1,1299,0,1,1,0,0,NoTurnover
LEA Professional Connect 84,1,0,1,799,0,1,1,0,0,NoTurnover
Lewitt B70A (B-Stock),2,0,2,161.16,0,2,2,0,0,NoTurnover
Lewitt B70AS (B-Stock),1,0,1,50.49,0,1,1,0,0,NoTurnover
Lewitt DGT-450 B-Stock,2,0,2,301.54,0,2,2,0,0,NoTurnover
Lewitt GN35X2 (B-Stock),1,0,1,65.79,0,1,1,0,0,NoTurnover
Behringer X-TOUCH MINI,13,0,13,895.84,0,13,13,0,0,NoTurnover
BW BROADCAST LABOR,113.5,0,113.5,6050,0,113.5,113.5,0,0,NoTurnover
Lewitt DTP-340-REX,2,7,9,1823.84,0,9,5.5,0,0,NoTurnover
AudioArts Air-1 B-stock,1,0,1,0,0,1,1,0,0,NoTurnover
Behringer X-TOUCH EXTENDER,5,0,5,1644.95,0,5,5,0,0,NoTurnover
Lewitt DTP-BEAT-KIT-6,2,0,2,903.44,0,2,2,0,0,NoTurnover
Lewitt DTP-BEAT-KIT-PRO-7,2,1,3,3562.38,0,3,2.5,0,0,NoTurnover
Lewitt DTP-BEAT-KIT-PRO-7 (B-Stock),2,0,2,1406.2,0,2,2,0,0,NoTurnover
Lewitt GN15X (B-Stock),2,0,2,80.58,0,2,2,0,0,NoTurnover
Lewitt GN35X (B-Stock),1,0,1,45.39,0,1,1,0,0,NoTurnover
BLUE Microphones spark SL (FBA),18,-2,16,750,0,16,17,0,0,NoTurnover
JK Audio RM3.5 (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
JBL EON One PRO,1,0,1,876.82,0,1,1,0,0,NoTurnover
Heil Sound FINWHITE,4,0,4,640,0,4,4,0,0,NoTurnover
Gator GTSA-UTLDF222508,3,0,3,729.45,0,3,3,0,0,NoTurnover
Gator GU-1813-06-WPDF,4,0,4,625.2,0,4,4,0,0,NoTurnover
Gator GU-2011-07-WPDF,11,0,11,3031.44,0,11,11,0,0,NoTurnover
Blackmagic Design BMD-CONVCMIC/SH/WPSU,4,0,4,0,0,4,4,0,0,NoTurnover
Gator GU-2217-13-WPDF,3,0,3,625.23,0,3,3,0,0,NoTurnover
Gator GU-ZOOMH6-WP,3,0,3,170.49,0,3,3,0,0,NoTurnover
Blackmagic Design BMD-CFM-OG3,1,0,1,0,0,1,1,0,0,NoTurnover
Blackmagic Design BMD-BDLKWEBPTR Demo,1,0,1,0,0,1,1,0,0,NoTurnover
Gator GWP-TITANRODECASTER2,6,0,6,606.24,0,6,6,0,0,NoTurnover
Gator GWP-TITANRODECASTER4,1,1,2,985.22,0,2,1.5,0,0,NoTurnover
Gator GX-1921-8-TSA,1,0,1,0,0,1,1,0,0,NoTurnover
Bird 600-T-FN,1,0,1,922.5,0,1,1,0,0,NoTurnover
"Bird 4723-000 Single socket 1-5/8"" unflanged line section Used - Excellent",2,0,2,0,0,2,2,0,0,NoTurnover
Genelec 8020DPM,4,0,4,1547,0,4,4,0,0,NoTurnover
Bird 3129 Used-Good,2,0,2,0,0,2,2,0,0,NoTurnover
Genelec 8040BPM,4,0,4,3367,0,4,4,0,0,NoTurnover
Genelec M030AM,2,0,2,715,0,2,2,0,0,NoTurnover
Gepco 61801EZ-1000 (Black),1,0,1,157.05,0,1,1,0,0,NoTurnover
Gepco 6600-8.41,3000,0,3000,0,0,3000,3000,0,0,NoTurnover
Gepco 72401EZ-0.41,1001,0,1001,140.14,0,1001,1001,0,0,NoTurnover
Gepco 72401EZ-2.99,999,0,999,140,0,999,999,0,0,NoTurnover
Gepco GA61812GFC.99,89,0,89,235.85,0,89,89,0,0,NoTurnover
HamiltonBuhl X19MMPBKG,100,0,100,922,0,100,100,0,0,NoTurnover
Gator GM-16-MIC-WP,5,0,5,473.65,0,5,5,0,0,NoTurnover
Gator GKB-88 SLIM,3,0,3,246.27,0,3,3,0,0,NoTurnover
Gator G-MIXERBAG-1515,9,0,9,250.02,0,9,9,0,0,NoTurnover
Fostex Corp. PM04C-B,8,0,8,5576,0,8,8,0,0,NoTurnover
Focusrite Scarlett Solo 3G with Tascam Headphones and mic cable,26,1,27,2252,0,27,26.5,0,0,NoTurnover
BA-78-1B,1,0,1,0,0,1,1,0,0,NoTurnover
Focusrite Scarlett Solo Studio 3G (B-Stock),7,5,12,2507.84,0,12,9.5,0,0,NoTurnover
Fostex Corp. 6301NB,19,0,19,5615.61,0,19,19,0,0,NoTurnover
B-Stock Cisco 3850-24P-L,1,0,1,0,0,1,1,0,0,NoTurnover
Fostex Corp. EB-6301,4,0,4,125.2,0,4,4,0,0,NoTurnover
Fostex Corp. HP-A4BL,9,6,15,4584.72,0,15,12,0,0,NoTurnover
Fostex Corp. HP-A4BL (Amazon Copy),6,0,6,0,0,6,6,0,0,NoTurnover
Fostex Corp. PC-100USB-HR-2,5,0,5,412.51,0,5,5,0,0,NoTurnover
Fostex Corp. PM-SUB-MINI-2,2,0,2,192.22,0,2,2,0,0,NoTurnover
Fostex Corp. PM05D-B,11,0,11,1742.7,0,11,11,0,0,NoTurnover
Gator G-MICRO PACK,10,0,10,277.8,0,10,10,0,0,NoTurnover
Blackmagic Design BMD-SWATEMMINI,1,0,1,250.75,0,1,1,0,0,NoTurnover
Fostex Corp. T50RPmk3,65,6,71,7560,0,71,68,0,0,NoTurnover
Blackmagic Design BMD-CONVNTRM/YA/SMTPN (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
B&K 1856D,1,0,1,0,0,1,1,0,0,NoTurnover
Fostex Corp. T50RPmk3 (B-Stock),3,0,3,97.2,0,3,3,0,0,NoTurnover
Fostex Corp. T60RP (B-Stock),2,1,3,0,0,3,2.5,0,0,NoTurnover
Fostex Corp. TM-2,2,0,2,387,0,2,2,0,0,NoTurnover
GatesAir HARFAX10KFAX150,2,0,2,66500,0,2,2,0,0,NoTurnover
GatesAir HARFAX300INT (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
GatesAir Z10 3-phase transmitter at 104.3,1,0,1,0,0,1,1,0,0,NoTurnover
Heil Sound FINBLUE,2,0,2,320,0,2,2,0,0,NoTurnover
Heil Sound PL2T,51,0,51,5396,0,51,51,0,0,NoTurnover
JBL EON ONE,4,1,5,4123.25,0,5,4.5,0,0,NoTurnover
Heil Sound PL2T (FBA),32,57,89,4332,0,89,60.5,0,0,NoTurnover
Hosa Technology GHP-105,90,0,90,185.3,0,90,90,0,0,NoTurnover
Hosa Technology MCL-103,20,0,20,237.6,0,20,20,0,0,NoTurnover
Hosa Technology SKJ-603,40,0,40,190,0,40,40,0,0,NoTurnover
IK Multimedia IP-IKLIP-AV-IN (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
IK Multimedia IP-IRIG-HD2-IN,6,0,6,449.94,0,6,6,0,0,NoTurnover
IK Multimedia IP-IRIG-MICLAV2P-IN,5,0,5,299.95,0,5,5,0,0,NoTurnover
IK Multimedia IP-IRIG-MICSTDBLA-IN,6,0,6,787.43,0,6,6,0,0,NoTurnover
IK Multimedia IP-IRIG-MICVIDEO-IN,7,1,8,877.41,0,8,7.5,0,0,NoTurnover
Inovonics 565,6,0,6,7920,0,6,6,0,0,NoTurnover
Inovonics 567,3,0,3,4800,0,3,3,0,0,NoTurnover
Inovonics 610 (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
Inovonics 732 (B-Stock),2,-1,1,-1673,0,1,1.5,0,0,NoTurnover
Instek GOS-620,1,0,1,0,0,1,1,0,0,NoTurnover
JA-5 Yagi,1,0,1,0,0,1,1,0,0,NoTurnover
JBL 104SET-BT-US,11,0,11,7532.39,0,11,11,0,0,NoTurnover
JBL 104SET-BT-US (FBA),18,2,20,2308.31,0,20,19,0,0,NoTurnover
JBL 305PMKII,42,-8,34,3717.29,0,34,38,0,0,NoTurnover
Behringer Xenyx 1002,19,1,20,1539.78,0,20,19.5,0,0,NoTurnover
Behringer XR12,3,3,6,2519.91,0,6,4.5,0,0,NoTurnover
JBL C1PRO,8,-2,6,349.28,0,6,7,0,0,NoTurnover
Behringer X32 PRODUCER B-stock,2,0,2,0,0,2,2,0,0,NoTurnover
JBL CONTROL 30,2,0,2,926.48,0,2,2,0,0,NoTurnover
JBL CONTROL 5,4,2,6,713.49,0,6,5,0,0,NoTurnover
Hosa Technology F5S-H6,24,0,24,288,0,24,24,0,0,NoTurnover
Hosa Technology DIB-443,4,0,4,64.6,0,4,4,0,0,NoTurnover
Hosa Technology CRA-202,12,0,12,47.4,0,12,12,0,0,NoTurnover
Bird 10KB3,4,0,4,572.8,0,4,4,0,0,NoTurnover
Heil Sound PR30,8,4,12,2164,0,12,10,0,0,NoTurnover
Heil Sound PR35 (FBA),8,6,14,1128,0,14,11,0,0,NoTurnover
Heil Sound PR35 Chrome,3,0,3,732,0,3,3,0,0,NoTurnover
Bird 1500B3,1,0,1,429.6,0,1,1,0,0,NoTurnover
Auralex DESKMAXCHA,15,0,15,10200.6,0,15,15,0,0,NoTurnover
RODE DeadCat VMP,6,0,6,151.74,0,6,6,0,0,NoTurnover
Heil Sound PR40 (FBA),26,22,48,4760,0,48,37,0,0,NoTurnover
Heil Sound PR40 BG,5,6,11,2474,0,11,8,0,0,NoTurnover
Heil Sound PR40 Chrome,12,0,12,3348,0,12,12,0,0,NoTurnover
Heil Sound PR77D,4,0,4,696,0,4,4,0,0,NoTurnover
Belkin F8J212btWHT,15,0,15,585,0,15,15,0,0,NoTurnover
Hosa Technology CRA-201,12,0,12,38.4,0,12,12,0,0,NoTurnover
Heil Sound PRSMB,20,0,20,1449,0,20,20,0,0,NoTurnover
Belkin F1D108-CBL-06,1,0,1,44.99,0,1,1,0,0,NoTurnover
Henry Engineering BACKUPS,1,0,1,1092,0,1,1,0,0,NoTurnover
Henry Engineering SP SPORTS POD (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
Belden 1031A,100,0,100,70,0,100,100,0,0,NoTurnover
Henry Engineering USBMB (B-Stock),2,0,2,0,0,2,2,0,0,NoTurnover
Holmes HAPF300AH-U4,2,0,2,0,0,2,2,0,0,NoTurnover
Hosa Technology BNC-06-150,1,0,1,28.35,0,1,1,0,0,NoTurnover
Hosa Technology CBT-500,2,0,2,76.1,0,2,2,0,0,NoTurnover
Hosa Technology CPP-202,15,0,15,70.5,0,15,15,0,0,NoTurnover
BW Broadcast PCB-TX300-PAUL-R2-V2,1,0,1,0,0,1,1,0,0,NoTurnover
RapcoHorizon NBM1-10,30,0,30,354,0,30,30,0,0,NoTurnover
RODE DeadCat VMP+,6,50,56,1528.24,0,56,31,0,0,NoTurnover
Grace Digital SHD-T750 B-Stock,0,2,2,179.98,0,2,1,0,0,NoTurnover
Frameworks GFWMICBCBM3000,0,100,100,7798.5,0,100,50,0,0,NoTurnover
Frameworks GFWSPKSTMNDSKCMP,0,6,6,378.9,0,6,3,0,0,NoTurnover
GatesAir FAXLP-GPS,0,1,1,0,1,0,0,0,,
GatesAir LX1000 Demo,0,2,2,9233,0,2,1,0,0,NoTurnover
Gator G-HEADPHONE-CASE,0,2,2,28.4,0,2,1,0,0,NoTurnover
Gator G-MIXERBAG-2020,0,13,13,397.73,0,13,6.5,0,0,NoTurnover
Gator G-PROR-8U-19,0,2,2,335.36,0,2,1,0,0,NoTurnover
Gator GM-4WR,0,3,3,468.9,0,3,1.5,0,0,NoTurnover
Gator GTSA-KEY61,0,1,1,230.52,0,1,0.5,0,0,NoTurnover
Gator GXR-3219-1603,0,1,1,277.88,0,1,0.5,0,0,NoTurnover
Genelec 8000-202B,0,2,2,97.5,0,2,1,0,0,NoTurnover
Genelec 8330AP,0,2,2,1298.7,0,2,1,0,0,NoTurnover
Heil Sound HB-1 (FBA),0,30,30,1440,0,30,15,0,0,NoTurnover
Frameworks GFWMICBCBM1000 (B-Stock),0,2,2,56.82,0,2,1,0,0,NoTurnover
Heil Sound PL2T (B-Stock),0,1,1,68.4,0,1,0.5,0,0,NoTurnover
Hercules DJ Control Inpulse 200,0,2,2,156.58,0,2,1,0,0,NoTurnover
Hercules DJ Control Inpulse 200 (FBA),0,4,4,313.16,0,4,2,0,0,NoTurnover
Hercules DJ Control Inpulse 300,0,2,2,1818.46,0,2,1,0,0,NoTurnover
Hercules DJ Control Inpulse 300 (FBA),0,4,4,519.56,0,4,2,0,0,NoTurnover
Hercules DJ MONITOR 32,0,6,6,1558.56,0,6,3,0,0,NoTurnover
Hercules DJ Monitor 32 Party Pack,0,1,1,84.82,0,1,0.5,0,0,NoTurnover
Hercules DJ Starter Kit Worldwide,0,2,2,6449.1,0,2,1,0,0,NoTurnover
Hercules DJ Starter Kit Worldwide (FBA),0,22,22,2934.58,0,22,11,0,0,NoTurnover
Hercules DJControl Compact,0,8,8,1702.88,0,8,4,0,0,NoTurnover
Hercules DJControl Compact (FBA),0,28,28,1644.16,0,28,14,0,0,NoTurnover
Hercules DJControl Starlight,0,5,5,7340,0,5,2.5,0,0,NoTurnover
Frameworks GFWMICBCBM2000 (FBA),0,99,99,5063.85,0,99,49.5,0,0,NoTurnover
Frameworks GFW-SPK-SM50,0,3,3,208.38,0,3,1.5,0,0,NoTurnover
Hercules P32DJ,0,6,6,978.72,0,6,3,0,0,NoTurnover
Focusrite Scarlett 8i6 3G (FBA),0,142,142,31696.96,0,142,71,0,0,NoTurnover
Focal FOPRO-SOLO6BE,0,2,2,1746,0,2,1,0,0,NoTurnover
Focusrite Clarett OctoPre,0,6,6,3374.94,0,6,3,0,0,NoTurnover
Focusrite ISA 428 MkII,0,1,1,1246.87,0,1,0.5,0,0,NoTurnover
Focusrite Red 8Line,0,1,1,1852.49,0,1,0.5,0,0,NoTurnover
Focusrite Red 8Pre,0,1,1,2849.99,0,1,0.5,0,0,NoTurnover
Focusrite RedNet R1,0,2,2,1211.23,0,2,1,0,0,NoTurnover
Focusrite RedNet X2P,0,4,4,2707.46,0,4,2,0,0,NoTurnover
Focusrite Scarlett 18i20 3G (B-Stock),0,3,3,1104.35,0,3,1.5,0,0,NoTurnover
Focusrite Scarlett 18i20 3G (FBA),0,20,20,7837.4,0,20,10,0,0,NoTurnover
"Focusrite Scarlett 18i8, (4) XLR",0,1,1,0,0,1,0.5,0,0,NoTurnover
Focusrite Scarlett 2i2 3G (FBA),0,1497,1497,198361.7,0,1497,748.5,0,0,NoTurnover
"Focusrite Scarlett 2i2 3G, 3' Mic Cable",0,1,1,0,0,1,0.5,0,0,NoTurnover
Focusrite Scarlett OctoPre (FBA),0,26,26,9010.21,0,26,13,0,0,NoTurnover
Frameworks GFW-RINGLIGHTSET,0,5,5,142.05,0,5,2.5,0,0,NoTurnover
Focusrite Scarlett OctoPre Dynamic (FBA),0,25,25,9789.52,0,25,12.5,0,0,NoTurnover
Focusrite Scarlett OctoPre Dynamic (b-stock),0,1,1,470.24,0,1,0.5,0,0,NoTurnover
Focusrite Scarlett Solo 3G (Amazon Copy),0,35,35,2430.1,0,35,17.5,0,0,NoTurnover
Focusrite Scarlett Solo 3G (FBA),0,202,202,17098,0,202,101,0,0,NoTurnover
Focusrite Scarlett Solo Studio 3G (FBA),0,650,650,106496.99,0,650,325,0,0,NoTurnover
Focusrite iTrack Solo,0,52,52,4816.24,0,52,26,0,0,NoTurnover
Fostex Corp. RM-3 (FBA),0,20,20,7347.4,0,20,10,0,0,NoTurnover
Fostex Corp. RM-3 (b-stock),0,1,1,330.63,0,1,0.5,0,0,NoTurnover
Frameworks GFW-MIC-0250,0,200,200,770,0,200,100,0,0,NoTurnover
Frameworks GFW-MIC-0251,0,40,40,200,0,40,20,0,0,NoTurnover
Frameworks GFW-MIC-0821,0,6,6,145.86,0,6,3,0,0,NoTurnover
Frameworks GFW-MIC-0822,0,12,12,416.76,0,12,6,0,0,NoTurnover
Hercules DJControl Starlight (FBA),0,56,56,3464.48,0,56,28,0,0,NoTurnover
Hercules Universal DJ,0,3,3,489.36,0,3,1.5,0,0,NoTurnover
Focal FOPRO-SHAPE65,0,4,4,2340,0,4,2,0,0,NoTurnover
Lewitt LCT-140-AIR,0,6,6,540,0,6,3,0,0,NoTurnover
Key Digital KD-FIX418,0,6,6,828,0,6,3,0,0,NoTurnover
Key Digital KD-HDFIX22 (B-Stock),0,1,1,124.2,0,1,0.5,0,0,NoTurnover
Key Digital KD-MS4x4G,0,1,1,688,0,1,0.5,0,0,NoTurnover
Key Digital KD-Pro30GX,0,1,1,88,0,1,0.5,0,0,NoTurnover
Key Digital KD-S4x1X (b-stock),0,1,1,109,0,1,0.5,0,0,NoTurnover
Key Digital KD-X222PO,0,2,2,248,0,2,1,0,0,NoTurnover
Key Digital KD-X444S,0,3,3,492,0,3,1.5,0,0,NoTurnover
Kingston MEM-KIN-KVR16N11/8,0,2,2,114,0,2,1,0,0,NoTurnover
Kintronic Labs LAB9.50,0,1,1,2788,0,1,0.5,0,0,NoTurnover
Klark Teknik DI 10P (b-stock),0,1,1,27.99,0,1,0.5,0,0,NoTurnover
L-Com DGB25MT1,0,6,6,111,0,6,3,0,0,NoTurnover
"Lavalier Go, Wireless Go",0,1,1,0,0,1,0.5,0,0,NoTurnover
Lewitt LCT-240-PRO-BLK (B-Stock),0,1,1,90,0,1,0.5,0,0,NoTurnover
Kathrein CL-FM/VRM/50N 88-108 MHz LOG-PERIODIC ANTENNA,0,1,1,1370.25,0,1,0.5,0,0,NoTurnover
Lewitt LCT-240-PRO-BLK (FBA),0,24,24,2160,0,24,12,0,0,NoTurnover
Lewitt LCT-240-PRO-WHT (FBA),0,41,41,3870,0,41,20.5,0,0,NoTurnover
Lewitt LCT-40-SH,0,4,4,97.2,0,4,2,0,0,NoTurnover
Lewitt LCT-440-PURE (FBA),0,56,56,9522,0,56,28,0,0,NoTurnover
Lewitt MTP-550-DM (FBA),0,35,35,2511.95,0,35,17.5,0,0,NoTurnover
Liberty AV Solutions 22-2P-SIAM-EZ,0,1,1,0,0,1,0.5,0,0,NoTurnover
MCi (a Mega Industries Company) 61103,0,1,1,2320,0,1,0.5,0,0,NoTurnover
MXL MXL-2003A (FBA),0,35,35,4381,0,35,17.5,0,0,NoTurnover
MXL MXL-990 BLAZE,0,3,3,210,0,3,1.5,0,0,NoTurnover
MXL MXL-AC-424,0,3,3,210,0,3,1.5,0,0,NoTurnover
MXL MXL-BCD-1 (FBA),0,171,171,15390,0,171,85.5,0,0,NoTurnover
MXL MXL-MIC MATE PRO (B-Stock),0,2,2,126,0,2,1,0,0,NoTurnover
Key Digital KD-EX18G,0,6,6,876,0,6,3,0,0,NoTurnover
KRK RP8G4WN-NA,0,2,2,325,0,2,1,0,0,NoTurnover
Hollyland HL-LARK 150,0,12,12,2478,0,12,6,0,0,NoTurnover
Izzy CONT-SA-SS,0,3,3,0,0,3,1.5,0,0,NoTurnover
Hollyland HL-Mars 400S,0,4,4,1680,0,4,2,0,0,NoTurnover
Hollyland HL-Mars T1000,0,2,2,2662,0,2,1,0,0,NoTurnover
Honda EU2200i,0,6,6,6734.58,0,6,3,0,0,NoTurnover
Hosa Technology CMP-159,0,11,11,57.2,0,11,5.5,0,0,NoTurnover
Hosa Technology PWC-148,0,175,175,1050,0,175,87.5,0,0,NoTurnover
Hosa Technology STX-102F,0,6,6,28.2,0,6,3,0,0,NoTurnover
Hubbell HBL2311,0,5,5,99.5,0,5,2.5,0,0,NoTurnover
ISO-Acoustics ISOPUCK,0,8,8,304,0,8,4,0,0,NoTurnover
ISO-Acoustics ISOPUCK-MINI,0,30,30,1440,0,30,15,0,0,NoTurnover
ISO-Acoustics ISOPUCK76,0,2,2,102.38,0,2,1,0,0,NoTurnover
Inovonics 262 b-stock,0,1,1,1120,0,1,0.5,0,0,NoTurnover
Inovonics 719 (B-Stock),0,1,1,1984.5,0,1,0.5,0,0,NoTurnover
JBL 305PMKII (FBA),0,8,8,826.08,0,8,4,0,0,NoTurnover
KRK RP8G4-NA (B-Stock),0,3,3,442.8,0,3,1.5,0,0,NoTurnover
JBL 306PMKII (B-Stock),0,1,1,134.33,0,1,0.5,0,0,NoTurnover
JBL C1PRO (Pair),0,2,2,235.98,0,2,1,0,0,NoTurnover
JBL C50PACK,0,1,1,349.33,0,1,0.5,0,0,NoTurnover
JBL CONTROL 14C/T,0,4,4,254.16,0,4,2,0,0,NoTurnover
JBL CONTROL 226C/T,0,12,12,2405.16,0,12,6,0,0,NoTurnover
JK Audio GM1,0,2,2,136.5,0,2,1,0,0,NoTurnover
JK Audio INNLTD,0,2,2,427,0,2,1,0,0,NoTurnover
Jampro 318-50-140,0,1,1,0,1,0,0,0,,
Jampro 318-50-300,0,1,1,0,0,1,0.5,0,0,NoTurnover
KRK 10S2-NA,0,5,5,1326,0,5,2.5,0,0,NoTurnover
KRK 12S2-NA (B-Stock),0,1,1,374,0,1,0.5,0,0,NoTurnover
KRK 8S2-NA (B-Stock),0,1,1,172.8,0,1,0.5,0,0,NoTurnover
Focal FOPRO-SHAPETWIN,0,2,2,1404,0,2,1,0,0,NoTurnover
Focal FOPRO-SHAPE50,0,4,4,1872,0,4,2,0,0,NoTurnover
RODE DeadWombat,3,0,3,91.65,0,3,3,0,0,NoTurnover
Audio-Technica ATH-M40X (FBA),0,96,96,6026.16,0,96,48,0,0,NoTurnover
Audio-Technica AT2005USB (FBA),0,200,200,10030,0,200,100,0,0,NoTurnover
Audio-Technica AT2005USBPK  (FBA),0,80,80,6120,0,80,40,0,0,NoTurnover
Audio-Technica AT2020 (FBA),0,191,191,11202.15,0,191,95.5,0,0,NoTurnover
Audio-Technica AT2020USB+ (FBA),0,253,253,26590.55,0,253,126.5,0,0,NoTurnover
Audio-Technica AT2020USB+PK (FBA),0,50,50,6950,0,50,25,0,0,NoTurnover
Audio-Technica AT2041SP,0,6,6,688.5,0,6,3,0,0,NoTurnover
Audio-Technica AT4033A,0,2,2,508.3,0,2,1,0,0,NoTurnover
Audio-Technica AT4047/SV,0,2,2,909.5,0,2,1,0,0,NoTurnover
Audio-Technica AT8004 (B-Stock),0,1,1,56.61,0,1,0.5,0,0,NoTurnover
Audio-Technica AT8134,0,6,6,66.3,0,6,3,0,0,NoTurnover
Audio-Technica AT8646QM,0,3,3,114,0,3,1.5,0,0,NoTurnover
Audio-Technica ATH-G1,0,12,12,2838,0,12,6,0,0,NoTurnover
Audio-Technica ATH-M60X (B-Stock),0,1,1,125.1,0,1,0.5,0,0,NoTurnover
Audio-Technica AT-LP60XBT-BK,0,20,20,2085,0,20,10,0,0,NoTurnover
Audio-Technica ATM-DRUM4 (FBA),0,4,4,1186.6,0,4,2,0,0,NoTurnover
Audio-Technica ATR2100X-USB,0,24,24,1656,0,24,12,0,0,NoTurnover
Audio-Technica ATR2500X-USB,0,13,13,1082.25,0,13,6.5,0,0,NoTurnover
Audio-Technica ATW-1101/H92 (FBA),0,6,6,1570.56,0,6,3,0,0,NoTurnover
Audio-Technica ATW-1311 (FBA),0,2,2,1018.3,0,2,1,0,0,NoTurnover
Audio-Technica BP40 (B-Stock),0,1,1,187.43,0,1,0.5,0,0,NoTurnover
Audio-Technica MT830CW,0,3,3,170.85,0,3,1.5,0,0,NoTurnover
AudioArts Lightning 1612,0,2,2,12473.6,0,2,1,0,0,NoTurnover
AudioScience ASI5720,0,2,2,1198,0,2,1,0,0,NoTurnover
AudioScience ASI5722,0,2,2,2118,0,2,1,0,0,NoTurnover
AudioScience Iyo Dante 16.16MR,0,1,1,1491,0,1,0.5,0,0,NoTurnover
BLUE Microphones Bluebird SL (B-Stock),0,1,1,202.5,0,1,0.5,0,0,NoTurnover
Audio-Technica AT-LPW30TK,0,5,5,1742.5,0,5,2.5,0,0,NoTurnover
Audio-Technica AT-LP3BK (B-Stock),0,2,2,250.66,0,2,1,0,0,NoTurnover
BLUE Microphones baby bottle SL (FBA),0,48,48,14400,0,48,24,0,0,NoTurnover
Andrew 204673-2,0,1,1,25.83,0,1,0.5,0,0,NoTurnover
Allen & Heath AH-M-DL-WAVES3-A,0,1,1,1384.87,0,1,0.5,0,0,NoTurnover
Allen & Heath AH-ME-1 (FBA),0,16,16,7349.76,0,16,8,0,0,NoTurnover
Allen & Heath AH-QU-32C b-stock,0,2,2,4107.86,0,2,1,0,0,NoTurnover
Allen & Heath AH-QU-SB (Used - Good),0,1,1,216,0,1,0.5,0,0,NoTurnover
Allen & Heath AH-QU-SB-RK19,0,1,1,46.38,0,1,0.5,0,0,NoTurnover
Allen & Heath AH-XONE:23C,0,1,1,298.08,0,1,0.5,0,0,NoTurnover
Allen & Heath AH-ZED6 b-stock,0,1,1,88.41,0,1,0.5,0,0,NoTurnover
Allen & Heath AH-ZED6FX (FBA),0,2,2,272.86,0,2,1,0,0,NoTurnover
Allen & Heath AH-ZEDi10 (FBA),0,19,19,3004.09,0,19,9.5,0,0,NoTurnover
Altec Air P550WLP,0,1,1,3949.5,0,1,0.5,0,0,NoTurnover
"American Amplifier Technologies, LLC01 318-50-M158MUC",0,4,4,0,2,2,1,0,0,NoTurnover
Andrew 204673-1,0,1,1,30.93,0,1,0.5,0,0,NoTurnover
Andrew 31768A,0,4,4,188.08,0,4,2,0,0,NoTurnover
Audio-Technica AT-LP3BK,0,5,5,1531.75,0,5,2.5,0,0,NoTurnover
Andrew 40394-2,0,1,1,140,0,1,0.5,0,0,NoTurnover
Andrew H5PDF-S,0,1,1,95.07,0,1,0.5,0,0,NoTurnover
Andrew SEC-1158,0,1,1,31.56,0,1,0.5,0,0,NoTurnover
Andrew SEC-378,0,4,4,128.84,0,4,2,0,0,NoTurnover
Angry Audio ADAPTM-XLRFD,0,8,8,112,0,8,4,0,0,NoTurnover
Aston Microphones AST-ELEMENT (B-Stock),0,4,4,502.2,0,4,2,0,0,NoTurnover
Atlas Sound AA60G (B-Stock),0,1,1,240.71,0,1,0.5,0,0,NoTurnover
Audio-Technica 962500290,0,4,4,28,0,4,2,0,0,NoTurnover
Audio-Technica AT-LP120XBT-USB-BK,0,4,4,837,0,4,2,0,0,NoTurnover
Audio-Technica AT-LP1240-USBXP,0,6,6,2095.5,0,6,3,0,0,NoTurnover
Audio-Technica AT-LP140XP-BK,0,6,6,1675.5,0,6,3,0,0,NoTurnover
Audio-Technica AT-LP140XP-SV,0,15,15,4747.25,0,15,7.5,0,0,NoTurnover
BLUE Microphones Compass Desk-Insert Bushing (B-Stock),0,1,1,12.75,0,1,0.5,0,0,NoTurnover
BURK ARC Plus Remote Pkg - Used,0,1,1,1650,0,1,0.5,0,0,NoTurnover
Focal FOPRO-SHAPE40,0,4,4,1404,0,4,2,0,0,NoTurnover
Denon Pro DN-300BR (FBA),0,16,16,1980,0,16,8,0,0,NoTurnover
CyberPower PR1500LCDRTXL2UN,0,1,1,569.27,0,1,0.5,0,0,NoTurnover
CyberPower RMCARD205,0,1,1,137.1,0,1,0.5,0,0,NoTurnover
DIAMOND D-130J,0,3,3,239.85,0,3,1.5,0,0,NoTurnover
DM Engineering MSRE-RM,0,1,1,0,0,1,0.5,0,0,NoTurnover
Dbx 231s (b-stock),0,1,1,154.58,0,1,0.5,0,0,NoTurnover
Dbx 266xs (B-Stock),0,2,2,207.68,0,2,1,0,0,NoTurnover
